"Var1","Freq"
"Business & Legal Services",27
"Data/Technology",105
"Education",14
"Energy",6
"Environment & Weather",3
"Finance & Investment",7
"Food & Agriculture",5
"Geospatial/Mapping",19
"Governance",23
"Healthcare",10
"Housing/Real Estate",9
"Insurance",3
"Lifestyle & Consumer",24
"Research & Consulting",35
"Scientific Research",15
"Transportation",15
