"CompanyNumber","CompanyName","CompanyCategory","CompanyStatus","IncorporationDate","CompanyAdd","SICCode1","SICCode2","SICCode3","SICCode4"
"03931726","EMAPSITE.COM LIMITED","Private Limited Company","Active",2000-02-23,"RG27 0RP","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"09346879","ENDOLE LTD","Private Limited Company","Active",2014-12-09,"B70 8PJ","None Supplied","FALSE","FALSE","FALSE"
"01288342","ESRI (UK) LIMITED","Private Limited Company","Active",1976-11-29,"HP21 7QG","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
"06259559","EVOENERGY LIMITED","Private Limited Company","Active",2007-05-25,"NG9 6DZ","43210 - Electrical installation","FALSE","FALSE","FALSE"
"03995683","EXPARITY LIMITED","Private Limited Company","Active",2000-05-17,"TN6 1UQ","62012 - Business and domestic software development","FALSE","FALSE","FALSE"
"OC378473","FIGSHARE LLP","Limited Liability Partnership","Active",2012-09-17,"RG21 6XS","None Supplied","FALSE","FALSE","FALSE"
"07756654","FINDASCHOOL LTD","Private Limited Company","Active",2011-08-30,"SW6 2UZ","63120 - Web portals","FALSE","FALSE","FALSE"
"06690044","FLATMATEROOMS LIMITED","Private Limited Company","Active",2008-09-05,"CW8 4GT","62030 - Computer facilities management activities","FALSE","FALSE","FALSE"
"07906283","SUSTAINATION LIMITED","Private Limited Company","Active",2012-01-11,"SP5 1NR","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"06077952","FOOTWEB LIMITED","Private Limited Company","Active",2007-02-01,"B25 8YP","74100 - specialised design activities","FALSE","FALSE","FALSE"
"03967214","FUBRA LIMITED","Private Limited Company","Active",2000-04-07,"GU12 4RQ","63990 - Other information service activities not elsewhere classified","FALSE","FALSE","FALSE"
"07239092","FUNDING CIRCLE TRUSTEE LIMITED","Private Limited Company","Active",2010-04-29,"EC4Y 8EN","82990 - Other business support service activities not elsewhere classified","FALSE","FALSE","FALSE"
"05822339","FUTURE EVERYTHING CIC","Community Interest Company","Active",2006-05-19,"M15 6LR","90030 - Artistic creation","FALSE","FALSE","FALSE"
"07718100","GEEKY CODERS LIMITED","Private Limited Company","Dissolved",2011-07-26,"B18 6BF","62011 - Ready-made interactive leisure and entertainment software development","62012 - Business and domestic software development","62020 - Information technology consultancy activities","62090 - Other information technology service activities"
"06762703","GEO.ME SOLUTIONS LIMITED","Private Limited Company","Active",2008-12-02,"TQ2 5QY","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"08641682","GEOGER LTD","Private Limited Company","Active",2013-08-07,"OX9 3WT","74901 - Environmental consulting activities","74909 - Other professional, scientific and technical activities not elsewhere classified","FALSE","FALSE"
"SC177156","GEOWISE LIMITED","Private Limited Company","Active",1997-07-11,"EH8 8AS","62090 - Other information technology service activities","FALSE","FALSE","FALSE"
"07770247","GROWTH INTELLIGENCE LIMITED","Private Limited Company","Active",2011-09-12,"IG1 1JB","70229 - Management consultancy activities other than financial management","FALSE","FALSE","FALSE"
"09107370","HEBE WORKS LIMITED","Private Limited Company","Active",2014-06-30,"LS2 7EY","None Supplied","FALSE","FALSE","FALSE"
"06858550","I3 EDUCATION SERVICES LIMITED","Private Limited Company","Dissolved",2009-03-25,"HP27 0JE","85600 - Educational support services","FALSE","FALSE","FALSE"
"01503908","IBM LIMITED","Private Limited Company","Active",1980-06-25,"PO6 3AU","74990 - Non-trading company","FALSE","FALSE","FALSE"
"08341632","XPLORIA LTD","Private Limited Company","Active",2012-12-27,"NW3 7QB","62020 - Information technology consultancy activities","FALSE","FALSE","FALSE"
