"V1","V2","V3","V4"
"OD407","Tesobe","04351490","13 years 4 months"
"OD235","Sandbag Climate Campaign","06714443","6 years 7 months"
"OD123","Growth Intelligence","07770247","3 years 8 months"
"OD043","Bright Blue","07940506","3 years 3 months"
"OD300","Illustreets","08341632","2 years 4 months"
"OD640","Figshare","OC378473","2 years 8 months"
"OD091","DueDil","06999618","5 years 8 months"
"OD192","Open Rights Group","05581537","9 years 7 months"
"OD264","The Audience Agency Services","06994989","5 years 9 months"
"OD214","Porism","02192915","27 years 6 months"
"OD060","Cogent Analytics","06568048","7 years 1 month"
"OD288","Traveline","03826797","15 years 9 months"
"OD184","Oasis Loss Modelling Framework","07872678","3 years 5 months"
"OD118","Ghostery","07851914","3 years 6 months"
"OD059","ClearBooks","06636109","6 years 10 months"
"OD167","Mendeley","06419015","7 years 6 months"
"OD048","Cambridge Environmental Research Consultants","01926883","29 years 10 months"
"OD259","Talis Education","07196638","5 years 2 months"
"OD631","The Association of Convenience Stores","03987067","15 years 0 months"
"OD083","Dialogue by Design","03856988","15 years 7 months"
"OD151","Landmark Analytics","05156356","10 years 11 months"
"OD191","The Open Knowledge Foundation","05133759","10 years 0 months"
"OD155","The Local Government Association","03487186","17 years 5 months"
"OD727","Deeson","01073356","42 years 8 months"
"OD125","Harvey Walsh","04575510","12 years 6 months"
"OD704","7digital","03958483","15 years 1 month"
"OD733","Market Research Society","00518685","62 years 1 month"
"OD244","SKYSCAPE Cloud Services","07619797","4 years 0 months"
"OD082","Development Initiatives","06368740","7 years 8 months"
"OD234","SamKnows","06510477","7 years 3 months"
"OD164","MarkLogic","06080277","8 years 3 months"
"OD149","Kognitio","02127833","28 years 0 months"
"OD711","Last.fm","04569646","12 years 7 months"
"OD305","Zopa","05197592","10 years 9 months"
"OD042","BPE Solicitors","OC349012","5 years 7 months"
"OD100","EvoEnergy","06259559","7 years 11 months"
"OD170","MoneySavingExpert.com","08021764","3 years 1 month"
"OD036","BearingPoint","03144016","19 years 4 months"
"OD016","Aimia","05821446","8 years 0 months"
"OD736","NUS","08015198","3 years 1 month"
"OD289","Zubed Geospatial","02285049","26 years 9 months"
"OD046","BRE","03319324","18 years 3 months"
"OD099","eSynergy Solutions","04235243","13 years 11 months"
"OD487","Yahoo! UK","03244285","18 years 8 months"
"OD216","Precise","03247942","18 years 8 months"
"OD038","BioMed Central","03680030","16 years 5 months"
"OD278","ThoughtWorks","04091535","14 years 7 months"
"OD161","Manchester Evening News","03890740","15 years 5 months"
"OD098","Esri UK","01288342","38 years 5 months"
"OD183","NTT DATA","03085018","19 years 9 months"
"OD055","CGI","02843595","21 years 9 months"
"OD180","Nike","01887016","30 years 3 months"
"OD013","Adobe Systems","SC101089","28 years 7 months"
"OD295","Which?","00677665","54 years 5 months"
"OD153","Liberata","01238274","39 years 5 months"
"OD714","Spotify","06436047","7 years 5 months"
"OD157","Lockheed Martin","02372738","26 years 1 month"
"OD225","Rackspace","03897010","15 years 5 months"
"OD231","RM Education","01148594","41 years 5 months"
"OD124","The Guardian Media Group ","00094531","107 years 10 months"
"OD171","Moneysupermarket.com","03945937","19 years 3 months"
"OD737","Roche","00571546","58 years 8 months"
"OD706","Amazon","03223028","18 years 10 months"
"OD256","Syngenta","02710846","23 years 0 months"
"OD120","Google","03977902","15 years 1 month"
"OD734","MSD","00820771","50 years 8 months"
"OD032","ASOS","04006623","14 years 11 months"
"OD031","Arup","01312454","38 years 0 months"
"OD064","Costain","01393773","36 years 7 months"
"OD033","Atos","01245534","39 years 3 months"
"OD050","Capgemini","00943935","46 years 5 months"
"OD150","KPMG","OC301540","13 years 2 months"
"OD097","EY","OC300001","14 years 1 month"
"OD218","PwC","OC303525","12 years 5 months"
"OD080","Deloitte","OC303675","12 years 4 months"
"OD726","Capita","02081330","28 years 5 months"
"OD262","Telefonica","01743099","31 years 10 months"
"OD263","Tesco","00445790","67 years 6 months"
"OD023","Amey","02379479","26 years 0 months"
"OD635","Northern Powergrid","03271033","18 years 7 months"
"OD277","Thomson Reuters","03296375","18 years 5 months"
"OD111","Funding Circle","07239092","5 years 0 months"
"OD056","CH2M Hill","07262036","4 years 0 months"
"OD129","IBM","01503908","34 years 11 months"
"OD195","Openlink Group","02692297","23 years 2 months"
"OD730","Informed Solutions","02755304","22 years 7 months"
